Time (s),Voltage (V),Current
0.0,-82.8,6.483182311058045e-11
0.0001,-82.8,0.0
0.0002,-82.8,7.836128771305085e-11
0.00030000000000000003,-82.8,9.511204063892365e-11
0.0004,-82.8,8.480387926101685e-11
0.0005,-82.8,8.609239757061005e-11
0.0006000000000000001,-82.8,7.836128771305085e-11
0.0007,-82.8,4.357124492526055e-11
0.0008,-82.8,3.5840127617120744e-11
0.0009000000000000001,-82.8,1.3291034847497942e-11
0.001,-82.8,1.0500960052013398e-12
0.0011,-82.8,-1.9566215574741364e-11
0.0012000000000000001,-82.8,-2.3431774228811266e-11
0.0013000000000000002,-82.8,-2.987437136471272e-11
0.0014,-82.8,-4.275956749916077e-11
0.0015,-82.8,-5.951031669974328e-11
0.0016,-82.8,-5.6933280080556875e-11
0.0017000000000000001,-82.8,-6.788569688796998e-11
0.0018000000000000002,-82.8,-7.561681419610978e-11
0.0019,-82.8,-8.141514658927918e-11
0.002,-82.8,-8.656922727823258e-11
0.0021000000000000003,-82.8,-1.0654127597808839e-10
0.0022,-82.8,-9.816589951515198e-11
0.0023,-82.8,-1.0654127597808839e-10
0.0024000000000000002,-82.8,-1.0009868443012239e-10
0.0025,-82.8,-1.1813795566558838e-10
0.0026000000000000003,-82.8,-1.1427240073680878e-10
0.0027,-82.8,-1.2007073312997818e-10
0.0028,-82.8,-1.0847406089305878e-10
0.0029000000000000002,-82.8,-1.0718554258346558e-10
0.003,-82.8,-1.1813795566558838e-10
0.0031000000000000003,-82.8,-1.21359258890152e-10
0.0032,-82.8,-1.1233961582183838e-10
0.0033,-82.8,-1.2651333212852479e-10
0.0034000000000000002,-82.8,-1.174936965107918e-10
0.0035,-82.8,-1.18782214820385e-10
0.0036000000000000003,-82.8,-1.1362813413143159e-10
0.0037,-82.8,-1.207149922847748e-10
0.0038,-82.8,-1.290903687477112e-10
0.0039000000000000003,-82.8,-1.18782214820385e-10
0.004,-82.8,-1.232920289039612e-10
